full_name,positions
ליאור תמאם,"איגוד התסריטאים, ארגוני יוצרים ומבצעים| איגוד תסריטאי הקולנוע והטלוויזיה| מנכ""ל איגוד התסריטאים"
גיל עומר,"תאגיד השידור הישראלי| יו""ר תאגיד השידור הציבורי 'כאן'"
יעל שילוני,"אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: איגוד לשכות המסחר, האגודה לזכויות החולה, ההסתדרות הרפואית בישראל, חטיבת אחיות בריאות הציבור, לשכת סוכני ביטוח בישראל, מאוחדת, מגן דוד אדום| מייצג/ת את ערוץ הקניות (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: הפדרציה הישראלית לתקליטים וקלטות בע""מ)| מייצג/ת את ערוץ הקניות (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: הפדרציה הישראלית לתקליטים וקלטות בע""מ, ערוץ 9)| מייצג/ת את ערוץ 9"
אלה אלון,"איגוד שיתופי, משרד הכלכלה| משרד הכלכלה והתעשייה"
רעות קינן,התאחדות התעשיינים| ה. התעשיינים
ארז גילהר,"שדלן/ית| מנכ""ל משותף| מייצג/ת את איגוד הבנקים, בנק הפועלים"
עידית שבתאי סידס,שדלן/ית| מייצג/ת את ועד ראשי האוניברסיטאות
יפעת בן חי שגב,משרד התקשורת| המועצה לשידורי כבלים ולשידורי לוויין
ליאור חיימוביץ,יועץ השר לביטחון פנים| יועץ שר לביטחון פנים
אלכס קושניר,"מנכ""ל משרד הקליטה| מנכ""ל משרד העלייה והקליטה"
מיכל ריבלין,HOT| חברת הוט| חברת יס
איתן גורני,"המשרד לבטחון פנים| הרשות למלחמה בסמים, המשרד לביטחון הפנים"
איתן גולדפלם,המשרד לבטחון פנים| המשרד לביטחון הפנים
זכריה יחיאל רייך,"אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: איגוד לשכות המסחר, פורום המכונים האורטופדיים)| שדלן/ית| מייצג/ת את עמותת דיירי הדיור המוגן בישראל| מייצג/ת את משק צאן נבו| מייצג/ת את רציו חיפושי נפט"
איילת לוי,המשרד לבטחון פנים| המשרד לביטחון פנים| המשרד לביטחון הפנים
עודד אופק,איגוד הבנקים| איגוד הברוקרים
חובב ינאי,"שתי""ל| שתיל| רכז המשמר החברתי"
יער אמיר,מפעילי התחבורה הציבורית| ארגונים לקידום התחבורה הציבורית| פורום חברות התחבורה הציבורית
נילי אבן חן,התנועה לאיכות השלטון| התנועה למען איכות השלטון בישראל
יוסי הירש,גמלאי| פעיל
דרור שטרום,"קבוצת RGE| ערוץ 5| יו""ר הוועדה להגברת התחרות בשירותים הבנקאיים| RGE גרופ| יו""ר הוועדה להגברת התחרות במשק הבנקאי| תל""י – חברת התמלוגים של יוצרי הקולנוע והטלוויזיה| יו""ר ועדת שטרום| מנכ""ל המכון הישראלי לתכנון כלכלי| יו""ר הוועדה להגברת התחרותיות בשירותים הבנקאיים והפיננסיים הנפוצים בישראל| הוועדה להגברת התחרותיות בשירותים בנקאיים ופיננסיים נפוצים"
גילה ורד,הרשות השנייה לטלוויזיה ולרדיו| הרשות השניה לטלוויזיה ולרדיו
שבתי גרברציק,המשרד לבטחון פנים| המשרד לביטחון הפנים
רותם פלג,המשרד לבטחון פנים| המשרד לביטחון פנים| המשרד לביטחון הפנים
שלמה פריזט,מייצג/ת את מגדלי הים התיכון| שדלן/ית| פרטנר תקשורת
שרגא ברוש,נשיא התאחדות התעשיינים| התאחדות התעשיינים בישראל
יצחק אליהו,"נציג ""פורום המים""| פעיל חברתי"
אורי נעמתי,ארגון עובדי הפלחה| ארגוני מגדלים
יעל פיינשטיין,הלשכה המרכזית לסטטיסטיקה| לשכה מרכזית לסטטיסטיקה
ליזה שוקר,"""מכבי"" שירותי בריאות| מכבי שירותי בריאות"
אשר רוכברגר,נכה לא חצי בן אדם| נכה לא חצי בנאדם
אסף וסרצוג,משרד התקשורת| משרד האוצר
נח הקר,"פרטנר תקשורת, חברות טלפונים סלולריים| חברת פרטנר, חברות טלפונים סלולריים"
מירי שאול,"פז, בתי זיקוק לנפט, אשדוד| חב' פז, חברות הגז"
שגיב חנין,מייצג/ת את נגב גז טבעי| חברות למתן שירותים להזרמת גז
עידן רייף,אגודת הסטודנטים תל חי| מכללת תל חי
דורון כהן,חברת אי.ב.סי| חברת IBC| חברת איי.ב.סי
אוריאל לדרברג,"מנכ""ל| פעמונים"
מיכאל בן הרוש,לשכת המסחר ירושלים| פעיל חברתי
"יעוץ וחקיקה, משרד המשפטים",מיכל אלבז| רביד דקל
שלמה בורה,ארגוני המוניות| איגוד מוניות השירות| ארגון מוניות השירות| מנהל מוניות הטייסים
אלן דובין,מגדל מקפת קרנות פנסיה וקופות גמל| מקדם יוזמה
ירדן אלון,"משרד הכלכלה| משרד העבודה, הרווחה והשירותים החברתיים"
יונתן בייסקי,המועצה לשידורי כבלים ולוויין| המועצה לשידורי כבלים ולשידורי לוויין
רן שטרית,משרד התקשורת| ראש מטה שר התקשורת
ברק גונן,קואלציית ארגונים חברתיים| רכז קואליציית ארגונים חברתיים| רכז קואליציית הארגונים החברתיים| צדק פיננסי
דוד ארז ענב,אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: התאחדות המלכה והתעשייה בישראל| אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: התאחדות המלאכה והתעשייה בישראל)| מייצג/ת את התאחדות המלאכה והתעשייה בישראל
אורן אבלה,"לשכת עורכי הדין| לשכת עו""ד"
דוד פרנס,בנק דיסקונט| ויזה כאל
בן בדרי,ארגוני המוניות| איגוד מוניות השירות| ארגון מוניות השירות
אוריין לביא,"לשכת עורכי הדין| לשכת עו""ד"
אביטל שטרנברג,"מח' יעוץ וחקיקה, משרד המשפטים| מח' ייעוץ וחקיקה, משרד המשפטים| ראש תחום, ייעוץ וחקיקה, משרד המשפטים"
יותם אדמי,"חברות הגז| חברות למתן שירותים להזרמת גז| יועץ משפטי, סופרגז"
צח בורוביץ,מייצג/ת את ועד ראשי המכללות האקדמיות הציבוריות| מייצג/ת את האיגוד הישראלי לתעשיות מתקדמות IATI| מייצג/ת את מרכז הספורט הלאומי
ניר ינושבסקי,"ינושבסקי א. הנדסה ובנין בע""מ, נציגי עסקים| התאחדות בוני הארץ"
אירית כהן,דוברת מ.א. שדות נגב| המוסד לביטוח לאומי
טל מישר,בנק הפועלים| שדלן/ית
שלמה שיטרית,ארגון מגדלי עופות| גליקסמן ביצים
נחום צבי יהושע,"מינהל הדלק והגז, משרד התשתיות הלאומיות, האנרגיה והמים| משרד האנרגיה והמים"
רות רלבג,"המרכז הרפואי ""שערי צדק""| המרכז הרפואי שערי צדק"
"פיקוח על הבנקים, בנק ישראל",דודי בבלי| אילנית מדמוני| דנה גרטי
אתי פלר,הרשות הלאומית להסמכת מעבדות| הרשות להסמכת מעבדות
ניר שויקי,הרשות השנייה לטלוויזיה ולרדיו| הרשות השניה לטלוויזיה ולרדיו
מיכל רפאלי כדורי,YES| חברת יס
שושי סומך,המועצה לשלום הילד| משרד המשפטים| המועצה הלאומית לשלום הילד
צחי ליטבק,"חברת דן, מפעילי התחבורה הציבורית| חב' דן, מפעילי התחבורה הציבורית"
זהר לוי,"מייצג/ת את הפדרציה הישראלית לתקליטים וקלטות בע""מ (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: ערוץ 9, ערוץ הקניות)| מייצג/ת את הפדרציה הישראלית לתקליטים וקלטות בע""מ (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: ערוץ הקניות"
דניאל גיגי,"מיסודה של הקרן החדשה לישראל| מלכ""ר"
יצחק כהן,"ארגון מגדלי הפירות| דן תחבורה ציבורית, מפעילי התחבורה הציבורית| דן, מפעילי התחבורה הציבורית"
שלמה בוחבוט,ראש עיריית מעלות תרשיחא| פורום ישובי קו העימות
צבי אלון,מועצת הצמחים| מועצות ייצור ושיווק
ליאת פג'ו,המרכז הישראלי ללימודי חירשות| עמותת המרכז ללימודי חירשות בישראל
דודו קובסניאנו,המועצה לשידורי כבלים ולוויין| המועצה לשידורי כבלים ולשידורי לוויין
תמר אברמוביץ,"מייצג/ת את סלקום, פרטנר| מייצג/ת את סלקום , פרטנר, קשת (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: תאגיד השידור הישראלי)| שדלן/ית| מייצג/ת את המכללה האקדמית בוינגייט, הסוכנות היהודית| מייצג/ת את סלקום ופרטנר"
ארז וייסמן,"ארגון עובדי המים| יו""ר פורום אגודות וספקי מים"
יורם בונן,חברת ישראכרט| מייצג/ת את ישראכרט
ירון מאיר,לשכת המגשרים בישראל| מועצה אזורית משגב
יהודה טלמון,"יו""ר אופק – אגודה שיתופית לניהול הון| ""אופק"", אגודה שיתופית לניהול הון"
שרית טילוביץ לוי,"אבחונים, אגף מש""ה, משרד הרווחה והשירותים החברתיים| משרד העבודה, הרווחה והשירותים החברתיים"
חנה וינשטוק טירי,"הרשות לצרכנות וסחר הוגן, משרד הכלכלה והתעשייה| יועמ""ש, הרשות לצרכנות וסחר הוגן, הרשות להגנת הצרכן והסחר ההוגן| משרד התמ""ת"
יצחק אליה,תנועות ההתיישבות| הסתדרות הפעול מזרחי
נעה צ'פליצקי,חברת מועצה| עיריית חולון
ניר מאיר,תנועות ההתיישבות| התנועה הקיבוצית
מוריס פרג',פעיל בעמותה 'ישראל אומרת לא לסמים'| פעיל בעמותה ישראל אומרת לא לסמים
גבי צלקה,ארגוני המוניות| איגוד מוניות השירות
יובל יפת,"אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: אהבה ארגון הנכים בישראל המיוחד, מטב)| שדלן/ית| אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: אהבה, ארגון הנכים בישראל המיוחד, מטב)| מייצג/ת את עמותת מט""ב| אינ/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: אהב""ה, ארגון הנכים בישראל המיוחד)"
מתן אלקלעי,"שדלן/ית| אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: פורום כפרי הנוער)| מייצג/ת את גמא, בנק איגוד"
פרופ' יפה זילברשץ,"הוועדה לתכנון ולתקצוב| יו""ר ות""ת/מל""ג"
שירה פורסטנברג,"נציגת התנועה המסורתית| מלכ""ר"
חנן פריצקי,"משרד העבודה, הרווחה והשירותים החברתיים| משרד הרווחה"
אבנר עורקבי,"ארגוני נכים| אהב""ה"
יפעת סולל,כן לזקן| אופק – אגודה שיתופית לניהול הון
בר לוי,בטחון פנים| המשרד לביטחון פנים
אפרת כהן,שדלן/ית| בנק לאומי
שמואל זקן,משרד האוצר| ממונה על שוק ההון ביטוח וחסכון
תומס מנור,שדלן/ית| המועצה לענף הלול
עודד ברוק,"המשרד לביטחון פנים| רשות ארצית לכבאות והצלה, המשרד לבטחון פנים"
מודי פרידמן,RGE| ערוץ 10
אופירה לובניצקי,"ארגוני יוצרים ומבצעים| תל""י – חברת התמלוגים של יוצרי הקולנוע והטלוויזיה| תל""י, חברת התמלוגים של יוצרי הקולנוע והטלוויזיה"
יהודה סודרי,איגוד מוניות השירות| ארגון מוניות השירות
אליעזר רוזנבאום,המשרד לבטחון פנים| המשרד לביטחון פנים
"עו""ד, חברת ישראכרט",יורם בונן| ברק גליקמן
"עו""ד, בנק דיסקונט",נגה רובינשטיין| אלעד כהן
גדי פרנק,"מל""ג| מנכ""ל המועצה להשכלה גבוהה| הוועדה לתכנון ותקצוב של המועצה להשכלה גבוהה"
מיכל גולדברג,"בריאות הציבור, משרד הבריאות| בריאות הסביבה, משרד הבריאות"
שרה קנדלר,רשות ניירות ערך| הרשות לניירות ערך
ברוריה מנדלסון,"משרד התקשורת| משרד התשתיות הלאומיות, האנרגיה והמים"
רועי כהן,"רשות לעסקים קטנים| נשיא לה""ב| ארגוני העצמאים| נשיא להב – לשכת הארגונים העצמאיים והעסקים בישראל"
מארק דוד שון,"משרד התמ""ת| רשות ההגבלים העסקיים"
ויקטור אררה,יועץ לכרטוס חכם| ארגון מוניות השירות
מתן אריאל גוטמן,מ.מבקר המדינה| משרד מבקר המדינה
לינור דויטש,"לובי 99| מלכ""ר"
"ממונת חקיקה, לשכת עורכי הדין",מזל נייגו| אוריין לביא
ניב אומזגין,ערוצים שמשדרים בכבלים ובלוויין| טיבי תקשורת
עירית ויסבלום,רשות האוכלוסין| משרד הפנים
עדי זגורי,המשרד לבטחון פנים| המשרד לביטחון פנים
רון שני,מרכז המועצות האזוריות| ראש מועצה אזורית משגב
אלי גרשנקרוין,ההסתדרות החדשה| ההסתדרות הכללית החדשה
עדן קנובסקי,"מייצג/ת את מגדלי הים התיכון בע""מ| שדלן/ית| מייצג/ת את GETT| מייצג/ת את אסותא, התאחדות בוני הארץ, ועד ראשי האוניברסיטאות, מכבי שרותי בריאות"
אורי אלדר,"יו""ר אגודה| יו""ר הפורום החברתי כלכלי"
גיתית ויסבלום,"החברה להגנת הטבע| מלכ""ר"
מלי פולישוק בלוך,"חכ""ל| אקו""ם"
"רפרנט ממשל ומינהל באג""ת, משרד האוצר",אייל טולדו| דורון סמיש
דליה טל,יועצת משפטית חיצונית לבנק איגוד| בנק אגוד
איתי חוטר,מרכז שלטון מקומי| מ. שלטון מקומי| מרכז השלטון המקומי
ישראל הנאו,הרבנות הראשית| עוזר הרב הראשי
הדר זיו,"פזגז, חברות הגז| פז גז, חברות הגז"
פנינה אורן,משרד החקלאות ופיתוח הכפר| משרד הבריאות
חן אסף,ארגון מגדלי עופות| ארגון מגדלי העופות
עמיר ריטוב,"ראש מועצה אזורית| יו""ר המועצות האזוריות| ראש המועצה האזורית לב השרון"
ענת ליברמן,משרד המשפטים| רשות האכיפה והגבייה
גילי ברנר,"מייצג/ת את סלקום (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: הפדרציה הישראלית לתקליטים וקלטות בע""מ, ערוץ 20)| מייצג/ת את האיגוד הישראלי לתעשיות מתקדמות IATI| מייצג/ת את חברת סלקום| שדלן/ית| מייצג/ת את מועצת הלול"
שלמה דולברג,מרכז שלטון מקומי| מרכז השלטון המקומי
פריד אברהם,"מת""ל| יושב ראש איגוד מוניות השירות בישראל ומנכ""ל ארגון הגג| כנסת 19| ארגון מוניות השירות"
יואל פלדשו,משרד התחבורה והבטיחות בדרכים| מנהל רשות התעופה האזרחית
מזל נייגו,"לשכת עורכי הדין| לשכת עו""ד"
איתן אלון,"מייצג/ת את עירית ירושלים| מייצג/ת את התאחדות נהגי מוניות השירות (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: עיריית ירושלים)| שדלן/ית (גלעד יחסי ממשל ולובינג)| מייצג/ת את התאגדות נהגי מוניות השירות| מייצג את התאחדות הסוחרים והקואליציה לשבת שוויון| מייצג/ת את התאחדות הסוחרים הכללית והעצמאיים בישראל, קואליציית שבת שוויון| מייצג/ת את עיריית ירושלים"
שושנה שטראוס,"רשות האוכלוסין, ההגירה ומעברי הגבול| לשכה משפטית, משרד התמ""ת"
מיכה דרורי,התנועה הקיבוצית| התנועות הקיבוציות
מנחם צבי כץ,"שדלן/ית| מייצג את חברת ישראכרט| אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: yes, ישראכרט)"
מירי נאור אליאס,"ערוצים שמשדרים בכבלים ובלוויין| יועמ""ש ערוץ 20"
רן מלמד,"סמנכ""ל עמותת ""ידיד""| עמותת ידיד"
ציפי גרונשטיין,מייצג/ת את בנק דיסקונט| שדלן/ית
רותי יצקן,מנהלת החינוך המיוחד בחולון| עיריית חולון
אמיר שרף,"שדלן, מכון וינגייט| מייצג/ת את מכון וינגייט"
פנחס קבלו,מרכז שלטון מקומי| מרכז השלטון המקומי
אליהו יצחק,פורום מים ירושלים| פעיל חברתי
הגר רובינשטיין,"חברת כרטיסי אשראי לישראל בע""מ| גלר"
רם חלפון,עמותת נתיב לבית ועתיד| משרד האוצר| פעיל חברתי| ארגון מוניות השירות
ישראל הבר,"נציגות שוויון זכויות לאנשים עם מוגבלות, משרד המשפטים| נציבות שיוויון זכויות לאנשים עם מוגבלות| נציבות שוויון לאנשים עם מוגבלות, משרד המשפטים"
רפאל כהן,נציגי תושבי שכונת גבעת עמל| עיריית עפולה
איתן פרנס,איגוד אנרגיה ירוקה| התנועה להעצמת ירושלים
יואב גזית,"בעלים| מנכ""ל ביו פור יו בע""מ"
מידד גיסין,"יו""ר ומנכ""ל צב""י| צרכני בריאות ישראל"
ליטל סבר,"מייצג/ת את סופר פארם| מייצג/ת את ערוץ הקניות (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: הפדרציה הישראלית לתקליטים וקלטות בע""מ)| שדלן/נית| מייצג/ת את ערוץ הקניות (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: הפדרציה הישראלית לתקליטים וקלטות בע""מ, ערוץ 9)| מייצג/ת את ועד עובדי סלקום (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: הפדרציה הישראלית לתקליטים וקלטות בע""מ, ערוץ 9, ערוץ הקניות)| מייצג/ת את ערוץ 9| מייצג/ת את עיריית ירושלים| שדלן/ית"
דוד אריאלי,ראש המועצה המקומית קריית טבעון| עיריות ומועצות| ראש מועצה מקומית קרית טבעון
ג'ג'או בימרו,סטודנט באוניברסיטה העברית| האוניברסיטה העברית
מאיר דויטש,תנועת רגבים| נציג עמותת רגבים
אלי בבלי,"יו""ר איגוד קרנות להשקעות משותפות בנאמנות| יו""ר איגוד מנהלי קרנות נאמנות"
תמיר אפורי,"ארגוני יוצרים ומבצעים| מייצג/ת את צ'רלטון בע""מ| ארגון חברות הסרטים mpa| MPA"
חנה גוטנר,הרשות לזכויות ניצולי שואה| משרד האוצר
יחזקאל בן זימרה,עיריית ראשון לציון| עירית ראשון לציון
דניאל בן גיאב,מטה מאבק זכייני פיס| המועצה להסדר ההימורים בספורט
פרופ' עמיחי כהן,המכון הישראלי לדמוקרטיה| מנהל המרכז לביטחון לאומי ודמוקרטיה
רחל וידל,"מייצג/ת את חברת ""מקורות""| מייצג/ת את מקורות חברת המים הלאומית| מייצג/ת את ש. שסטוביץ (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: שירותי בריאות כללית)| שדלן/ית (גורן עמיר יועצים בע""מ)"
נגה רובינשטיין,"מייצג/ת את רשת| מייצגת את שידורי רשת, שידורי רשת| רשת וערוץ 10| שדלן/ית| מייצג/ת את בתי דיור מוגן| מייצג/ת את שידורי רשת| בנק דיסקונט"
דוד רוטנברג,"נזקי בצורת ונזקי איבה, רשות המיסים| משרד האוצר"
עינת קורמן,"סמנכ""לית פורום המשפט למען ישראל| הפורום המשפטי למען ישראל| הפורום המשפטי למען ארץ ישראל| נציגת תנועת אורות"
דנה צדוק,"עמותת CFOs לקשרי ממשל ומשק| עמותת CFOS לקשרי ממשל ומשק| עו""ד"
שרון גילר,"חברת wobi| מנכ""ל WOBI| מנכ""ל חברת WOBI"
דוד קשני,"פורום לדיור ציבורי| יו""ר תנועת קול בשכונות"
משה בר,"ארגוני נכים| יו""ר ארגוני הנכים| נכים למען נכים"
קרן הורוביץ,מרכז רקמן באוניברסיטת בר אילן| מרכז רקמן לקידום מעמד האשה
יעקב מוסקוביץ,התאחדות חקלאי ישראל| מועצה אזורית רמת הנגב
"שדלן/ית (משרד עו""ד תדמור ושות' פרופ' יובל לוי ושות'), מייצג/ת את בנק לאומי",אילנה נק| אפרת כהן
אביבה ברעם,שדלן/ית| מייצג/ת את התאחדות האיכרים
ליאת הלבץ,"התאחדות הסטודנטים| מלכ""ר"
יהודה בר אור,ארגוני המוניות| איגוד נהגי המוניות| יושב ראש ארגון הגג של בעלי ונהגי המוניות בישראל
דנית בוסקילה,"לשכת עורכי הדין| לשכת עוה""ד| מתמחה| לשכת עו""ד"
ענת לבנת,עיריות ומועצות אזוריות ומקומיות| יועצות למעמד האישה ליד ראשי הערים
שבי גטניו,עמותה לדמוקרטיה מתקדמת| נציגי רשויות מקומיות ומועצות אזוריות
הילה שמיר,הרשות השנייה לטלוויזיה ולרדיו| הרשות השנייה לטלוויזיה ורדיו| הרשות השניה
יוסף אדוני,ארגון מגדלי עופות| ארגון מגדלי העופות
עידית שבתאי סידיס,שדלן/ית| מייצג/ת את חינוך לפסגות| מייצג/ת את מכבי שרותי בריאות (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: אסותא)
עופר פורת,"משרד התחבורה והבטיחות בדרכים| עמותת צור לבון בע""מ – מרכז הכשרה"
שגיא עינב,מ.מבקר המדינה| משרד מבקר המדינה
שי סומך,ייעוץ וחקיקה| משרד המשפטים
גלעד קהת,חברות כרטיסי האשראי| לאומי קארד
בני משפחה,לאה קוגוט| שמחה קוגוט| נועה קוגוט| איל קוגוט| מנשה קוגוט| מיכל קוגוט
אריק קפלן,"המועצה הלאומית לספורט| התאחדות אילת| נשיא התאחדות ""אילת"""
אריאל מונין,איגוד חברת הביטוח| לשכת סוכני הביטוח
יהב דרורי,"פרטנר תקשורת| חברת פרטנר, חברות טלפונים סלולריים"
חניתה חפץ,מייצג/ת את לשכת רואי חשבון בישראל| מייצג/ת את מכבי שירותי בריאות| מייצג/ת את GETT
מנחם מושקוביץ,"לשכת עורכי הדין| לשכת עו""ד"
יעקב גנם,מטה מאבק זכייני פיס| המועצה להסדר ההימורים בספורט
רחלי ירדן,"האגף לסיוע משפטי, ירושלים, משרד המשפטים| ייצוג קטינים, מחוז ירושלים, משרד המשפטים"
"עו""ד, בנק ישראל",יהודית סרקיס קרן| שירלי אבנר
אמיר דהן,רשות המיסים| משרד האוצר
גליה מאיר אריכא,"היועצת המשפטית, הרשות לזכויות ניצולי השואה, משרד האוצר| הרשות לזכויות ניצולי שואה"
אהרון נהרי,התאחדות בעלי המלאכה והתעשייה| התאחדות המלאכה והתעשייה
אפי נוה,"יו""ר לשכת עורכי הדין| ראש לשכת עורכי הדין"
שי חגג',מועצה אזורית מרחבים| עיריות ומועצות
ליעד אילני,"חבר מועצת העיר רמת גן| מייצג/ת את החברה המרכזית לייצור משקאות קלים| מייצג/ת את שירותי בריאות ""כללית""| מייצג/ת את שירותי בריאות כללית"
אירדה קריימר,"שדלן/ית| מייצגת את פורום מנהלי מוסדות התרבות| מייצג/ת את בזק – החברה הישראלית לתקשורת בע""מ| מייצג/ת את תנו לחיות לחיות"
ציפורה גרונשטיין,"אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: איגוד לשכות המסחר, פורום המכונים האורטופדיים)| אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: העמותה להנצחת חיל הקשר והתקשוב)| שדלן/ית| מייצג רציו חיפושי נפט"
אורה חכם,"המחנה הציוני| יו""ר הפורום הציבורי למען שוויון הזדמנויות בחינוך| מוזמנים נוספים"
זאב גולדבלט,פורום ועדי ההורים היישוביים| ארגוני הורים
רעיה שטנר,המשרד לביטחון פנים| המשרד לביטחון הפנים
דניאל דוד מלצר,"רפרנט מקרקעי ישראל באג""ת| משרד האוצר"
