full_name,positions
גל גולן,"מייצג/ת את גמא, בנק איגוד| מייצג/ת את פורום כפרי הנוער| אינו/ה מייצג/ה לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבות נוגע אליהם באופן ישיר: בנק איגוד, גמא ניהול וסליקה בע""מ)| מייצג/ת את אקו""ם – אגודת קומופוזיטורים מחברים ומו""לים למוסיקה בישראל| מייצג/ת את בנק איגוד, גמא ניהול וסליקה בע""מ| אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: פורום כפרי הנוער)"
חביב פאר,התאחדות התעשיינים| בעלים של חברת פאר פארם
אורלי בן שמאי,"מייצג/ת את איגוד בתי השעות| מייצג/ת את רשת| מייצג/ת את בנק לאומי (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: לאומי קארד בע""מ)| שדלן/ית| מייצג/ת את בנק לאומי, לאומי קארד בע""מ| מייצג/ת את בזק – החברה הישראלית לתקשורת בע""מ| מייצג/ת את חברת בזק| מייצג/ת את לאומי קארד בע""מ"
בצלאל לבנה,"מימון ישיר, חברות אשראי חוץ בנקאיות| מימון ישיר בע""מ| חברת מימון ישיר"
ירון וקרט,מוזמן| פקיעין החדשה| נציג מגדלים
אסתר כהנא,"הרשות למלחמה בסמים, המשרד לביטחון פנים| הרשות למלחמה בסמים, המשרד לביטחון הפנים"
רן קויתי,הסוכנות לעסקים קטנים ובינוניים| משרד הכלכלה והתעשייה
דוד דהאן,"הארגונים החברתים בכנסת| פעיל| הארגונים החברתיים בכנסת| המשמר החברתי בכנסת| יו""ר ודובר הארגונים החברתיים| נציג הארגונים החברתיים| נציג הארגונים החברתים| ארגון למען נכים"
עינת חוה גדעוני,"מחלקת ייעוץ וחקיקה, משרד המשפטים| מחלקת יעוץ וחקיקה, משרד המשפטים"
מאיר לוין,"הרשות ניירות ערך| היועץ הבכיר ליו""ר רשות לניירות ערך"
אהרון מדואל,ועד תושבי כפר שלם| מזכיר ועד כפר שלם
שלום לרנר,איגוד הבנקים| שדלן/ית
רונית פלץ,המשרד לבטחון פנים| המשרד לביטחון פנים
קרן לרנר,המשרד לבטחון פנים| המשרד לביטחון הפנים
הראל פרימק,"יו""ר צדק פיננסי| עמותת צדק פיננסי"
רותי שטרית,המשרד לבטחון פנים| המשרד לביטחון פנים
יובל ענתבי,מינהל התכנון| משרד האוצר
דוד מרקו,"מנכ""ל עמותת אלווין| אלווין ישראל"
שבתי גרברצ'יק,"משטרת ישראל, המשרד לביטחון הפנים| המשרד לביטחון פנים| מ""י, המשרד לביטחון הפנים| מ""י', משרד לביטחון הפנים| חטיבת הדוברות, מ""י, בטחון פנים"
טלי ענבר,רכבת ישראל| שדלן/ית
ציפי דיק,עיריית ראשון לציון| יועצות למעמד האישה ליד ראשי הערים
שמעון דהרי,איגוד מוניות השירות| ארגון מוניות השירות
אלעד קפלן,"מכון 'עתים'| מנהל המחלקה למדיניות ציבורית ומשפטית, מכון עתים| עמותת עיתים"
ליאור שובכר פרי,"שדלן/ית| מייצג/ת את אי.אי.אף אנרג'י נובל ישראל בע""מ (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: קק""ל)| מייצג/ת את דורגז"
יובל ברטוב,ארגוני סטודנטים| התאחדות הסטודנטים
אפרים גליקסברג,לשכת המגשרים בישראל| לשכת הטוענים הרבניים
אריה זדה,משרד התחבורה והבטיחות בדרכים| רשות התחבורה הציבורית
מרדכי אלקבץ,ארגון מגדלי עופות| ארגון מגדלי העופות
רויטל אוברגוט,"המשרד לבטחון פנים| שב""ס, המשרד לביטחון פנים"
רות פרמינגר,מייצג/ת את בנק דיסקונט| נפגעי פעולות איבה| שדלן/ית| מייצג/ת את עמותת דיירי הדיור המוגן בישראל| מייצג/ת את רציו חיפושי נפט
גיורא זלץ,ראש מועצת גליל עליון| ראש מועצה אזורית הגליל העליון| ראש המועצה גליל עליון| ראש המועצה האזורית גליל עליון
יואל בריס,"יו""ר הצוות לרגולציה על שירותים פיננסיים| משרד האוצר"
"חוקר, המכון הגיאולוגי",שמואל דוד איתי גבריאלי| גדעון בר
כרמית פולק כהן,המועצה לשלום הילד| המועצה הלאומית לשלום הילד
"בת זוג משרת מילואים, בנות זוג של משרתי מילואים",סיון יעקובסון| ענבל פרן פרח| מירב ספייסר
מג'די עיאשי,ארגון בטרם| בטרם – המרכז הלאומי לבריאות ובטיחות ילדים
אלי כהן,"ראש חטיבת הכספים, שירות בריאות כללית| ראש חטיבת הכספים, שירותי בריאות כללית| יועץ לוועדה| יצרני ומשווקי ביצים| ראש חטיבת הכספים, שירותי בריאות ""כללית""| התאחדות בוני הארץ"
יורם פרדינרו,"הסתדרות מדיצינית הדסה| הסתדרות מדיצינית ""הדסה"""
צילי נאה,המועצה הציבורית להגנת הפרטיות| משרד המשפטים
כרמל סלע,ראש המועצה האזורית חוף הכרמל| עיריות ומועצות| ראש מועצה אזורית חוף הכרמל
ליאת קליין,איגוד מרכזי סיוע לנפגעות תקיפה מינית| איגוד מרכזי הסיוע
אלי מלכה,"מועצה אזורית גולן| עיריית ירושלים, עיריות ומועצות"
דרור אהרוני,רשות מקרעי ישראל| רשות מקרקעי ישראל
יוסי נקש,מועצה אזורית גולן ועמק הירדן| קיבוץ אורטל
אליסה דברה,ארגון פרטי| מנהלת| בנקים לא מעל החוק
ירון סולומון,האיחוד החקלאי| תנועות ההתיישבות
אופיר כהן,לשכת רואי חשבון| לשכת רואי החשבון בישראל
גליה ניב,שירותי בריאות כללית| משרד הרווחה
בהירה ברדוגו,"בנק איגוד| מייצג/ת את בנק אגוד, גמא ניהול וסליקה בע""מ"
דן קדרון,אזרח| תנו יד לחירש ונכים למען נכים
אליס פקר,שדלן/ית| מייצג/ת את yes
אלעד כהן,מייצג/ת את בנק דיסקונט| רשת וערוץ 10| מייצג/ת את בתי דיור מוגן| שדלן/ית| מטה מאבק זכייני פיס| יועץ משפטי חיצוני לבנק דיסקונט| מייצג/ את רשת
אופיר גמליאל,"מנכ""ל מעבדות ITL| משרד הכלכלה"
ראובן בילט,לשכת המסחר| איגוד לשכות המסחר
אריאל מזוז,רשות מקרעי ישראל| רשות מקרקעי ישראל
קרן ברק,"אינ/ו מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים: הפדרציה הישראלית לתקליטים וקלטות בע""מ, סלקום , ערוץ 20)| אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: הפדרציה הישראלית לתקליטים וקלטות בע""מ, סלקום, ערוץ 20| מייצג/ת את מרכז הספורט הלאומי תל אביב יפו בע""מ| מייצג/ת את הבנק הבינלאומי| אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: הבנק הבינלאומי)| אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: הפדרציה הישראלית לתקליטים וקלטות בע""מ, נמל חיפה, ערוץ 20| מייצג/ת את חברת סלקום| שדלן/ית| מייצג/ת את מועצת הלול"
בני פרץ,לשעבר הפנתרים השחורים| נפגעי טרור| פעיל חברתי
צבי במברגר,"עמותת ""עמינדב""| עמותת השירות האזרחי"
רחלי הכהן,המועצה הלאומית לשלום הילד| המועצה לשלום הילד
ורדה לוסטהויז,חברות למתן שירות נתוני אשראי| חברות אשראי חוץ בנקאיות
נעמי מורביה,מטה מאבק הנכים| ארגוני נכים
גל גור,נציגת שדולת ההורים בתל אביב| ארגוני הורים
חיים מבורך,איגוד קרנות הפנסיה הוותיקות| קופת תגמולים
חגי פורגס,"משרד הרווחה והשירותים החברתיים| משרד העבודה, הרווחה והשירותים החברתיים"
מירב שמולי,שדלן/ית| מייצג/ת את התאחדות הארגונים הכלכליים הקיבוציים
מרגנית לוי,"ייעוץ וחקיקה, משרד המשפטים| מח' יעוץ וחקיקה, משרד המשפטים"
אופיר להב,משרד העלייה והקליטה| אובר
שרון מלכיאל,"שירות OTT שידורי עידן פלוס באינטרנט| שירות OTT, שידורי ""עידן פלוס"" באינטרנט| שירות OTT, שידורי עידן פלוס באינטרנט"
טובה מעוז,חברת מועצת עיר| חברת מועצת העיר מעלות תרשיחא
מוריה ברוט,"משרד העבודה, הרווחה והשירותים החברתיים| משרד הרווחה"
עמית ליאור,ארגוני יוצרים ומבצעים| איגוד תסריטאי הקולנוע והטלוויזיה
איתמר חרמון,משרד התקשורת| המועצה לכבלים וללוויין| המועצה לשידורי כבלים ולשידורי לוויין
אלעד מקדסי,רשות ההגבלים העסקיים| הרשות להגבלים עסקיים
טטיאנה אילריונוב,"רשות החשמל, משרד האנרגיה והמים| משרד התשתיות הלאומיות, האנרגיה והמים"
סימונה זילבר,המשרד לביטחון הפנים| משטרת ישראל
אריה כהן,ראש מועצה אזורית מגילות ים המלח| הנהלת בתי המשפט
אורית סטרוק,חברת כנסת לשעבר| תושבת חברון
יהודה פילוסוף,יושב ראש חטיבת המכונים האורתופדיים| פורום המכונים האורתופדיים
דורון שקמוני,מומחה סייבר ואינטרנט| מומחה אבטחה וסייבר
רועי ישראלי,"משרד האנרגיה והמים| משרד התשתיות הלאומיות, האנרגיה והמים"
מורן רייכמן,"משרד העבודה והרווחה והשירותים החברתיים| האגף להכשרה מקצועית, משרד העבודה הרווחה והשירותים החברתיים"
אברהם דניאל,איגוד לשכות המסחר| התאחדות החקלאים החדשה בישראל
איריס יוגב,"הרשות למלחמה בסמים ובאלכוהול| הרשות למלחמה בסמים, המשרד לבטחון פנים"
אורלי הר ציון,בנק ישראל| פיקוח על הבנקים
אליהו לוי,רשות האוכלוסין| ראש המועצה המקומית להבים
עדי מן,ארגוני הורים| יו״ר פורום הגנים הארצי
אור רוזנמן,"הרווחה והשירותים החברתיים| משרד התמ""ת"
אורן הלמן,משרד האנרגיה והמים| חברת החשמל
נילי ברוש,"משרד הפנים| פריפריה, נגב וגליל| משרד לשת""פ אזורי"
תני פרנק,מתנדב| תנועת נאמני תורה ועבודה
משרד החקלאות ופיתוח הכפר,אסף לוי| משה ויין
משה רודנסקי,ארגון מגדלי עופות| ארגון מגדלי העופות
יורם ישראלי,המועצה האזורית מטה אשר| נציגי רשויות מקומיות ומועצות אזוריות| ראש מועצת מטה אשר| ראש המועצה מטה אשר
מירי רזין,משרד מבקר המדינה| משרד מבקר המדינה
אמנון נויבך,"יו""ר הבורסה לניירות ערך| יו""ר הדירקטוריון של הבורסה לניירות ערך"
משה דגן,"מנכ""ל הרבנות הראשית לישראל| המשרד לשירותי דת"
חגית הלר קוצר,"אמישראגז, חברות הגז| אמישרגז, חברות הגז"
דוד מזרחי,משרד החינוך| רשות מקרקעי ישראל
אבי בר,"ערוץ 20 – ערוצים שמשדרים בכבלים ובלוויין| מבעלי ערוץ 20 ומנכ""ל הערוץ"
אבי גזית,איגוד מוניות השירות| חבר התאגדות נהגי מוניות השירות
יצחק מנחם,גדרה| יזם
יותם בן שטרית,"אגף תקצוב, ות""ת, המועצה להשכלה גבוהה| הוועדה לתכנון ותקצוב של המועצה להשכלה גבוהה"
מירי כהן,משרד הבריאות| משרד האוצר
פיני קבלו,מרכז השלטון המקומי| המרכז לשלטון מקומי
חגי לוין,"סמנכ""ל שירות התעסוקה| משרד הכלכלה"
נועה גונן,מייצג/ת איגוד יבואני הרכב בישראל| שדלן/ית| מייצג/ת את הוט| מייצג/ת את חברת הוט| מייצג/ת את HOT| מייצג/ת את אל על
חיים דהן,ארגון מגדלי עופות| המועצה לענף הלול| מועצת הלול
ארנון גלעדי,"עיריית ת""א| איגודן"
מאיר צור,"תנועות ההתיישבות| ראש תנועת המושבים ויו""ר התאחדות חקלאי ישראל| מזכ""ל תנועת המושבים ויו""ר התאחדות חקלאי ישראל"
רומן גרביץ,מנהל סיעת ישראל ביתנו| הכנסת
אילן שחורי,שדלן/ית| חברת הוט
"יו""ר ועדת עובדים זרים, לשכת עורכי הדין",עדי לוסטיגמן| אלכס זרנופלקסקי
רוני כהן,"יו""ר מועצת יבנאל| ועדת הבחירות"
מנחם בר חיים,איגוד מוניות השירות| ארגון מוניות השירות
חגי ברוש,"ראש אגף טיפול לשיקום הרשות למלחמה בסמים ובאלכוהול| המשרד לביטחון פנים| הרשות למלחמה בסמים, המשרד לביטחון הפנים"
"רפרנטית משרדים כלכליים, משרד האוצר",דניאל פרג| דריה פודשיבלוב
יגאל אכטנברג,שדלן/ית| מייצג/ת את ש. שסטוביץ (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: החברה המרכזית לייצור משקאות קלים)
ג'ק בלנגה,לשכת רואי חשבון| לשכת רואי החשבון בישראל
עמיחי פישמן,הרשות לזכויות ניצולי שואה| משרד האוצר
שי עמיחי,מ.מבקר המדינה| משרד מבקר המדינה
אודי מילנר,אתר ONE| ערוץ one
אילן זיקרי,"ארגוני המוניות| מוניות העיר אשדוד, איגוד מוניות השירות| ארגון מוניות השירות| התאגדות מוניות השירות"
יערה קדוש,המועצה האזורית מטה אשר| נציגי רשויות מקומיות ומועצות אזוריות
משה ביבי,"שדלן/ית| מייצג/ת את HOT| מייצג/ת את הוט| מייצג/ת את המועצה להסדר ההימורים בספורט (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: העיתונים ידיעות אחרונות, גלובס, הארץ)"
טוני וייסבוך,ארגון נוסעי התחבורה הציבורית בישראל| תחבורה בדרך שלנו
ירון עמוס לוי,תושב בת ים| מוביל מחאה מבת ים
יאיר ריינמן,התאחדות חקלאי ישראל| התנועה הקיבוצית
יהושע שלמה זוהר,"מייצג/ת את האגודה להתנדבות שירות לאומי, בת עמי אלומה אמונה, עמינדב אגודה תורנית להתנדבות, שלומית עמותה להפעלת מתנדבים לשירות לאומי| מייצג/ת את פורום יבואני המקנה| מייצג/ת את מפחמות מנשה| שדלן/ית| מייצג/ת את ועד המכללות הלא מתוקצבות| מייצג/ת את פורום חברות הקדישא הגדולות בישראל| מייצג/ת את אי. די. אף אנרג'י נובל ישראל בע""מ, קק""ל| מייצג/ת את קק""ל"
ברוך אלפיה,"מנכ""ל ובעלים| סליקה והנפקה"
רעות אלה,נציגת האגודה לקרימינולוגים קליניים בישראל| נציגת האגודה לקרימינולוגיים קליניים בישראל
מאיר כהן,משרד החינוך| המרכז הישראלי לקנביס רפואי
מיכל רבקה מנקס,מ. שלטון מקומי| מרכז השלטון המקומי
רחלי סונגו,"משרד הרווחה והשירותים החברתיים| משרד העבודה, הרווחה והשירותים החברתיים"
מיכל קראוס,המועצה לענף החלב בישראל| מועצות ייצור ושיווק
שרה קרמר,משרד הבריאות| המשמר החברתי
גיל יעקב,"ארגונים לקידום התחבורה הציבורית| מנכ""ל 15 דקות"
גלי עמיר,לוריאל| יועצת רגולטורית ורושמת תמרוקים
עפרה רוס,הרשות לזכויות ניצולי שואה| משרד האוצר
זאב אבלס,בנק איגוד| בנק אגוד
אלון זסק,"אשכול משאבי טבע, המשרד להגנת הסביבה| איכות הסביבה"
אריאל מואב,"המחלקה למדיניות ציבורית ומשפטי, מכון עתים| המחלקה למדיניות ציבורית, מכון עתים"
אילן שדה,ראש המועצה האזורית מנשה| עיריות ומועצות אזוריות ומקומיות
עידו הדרי,"רגולציה, ""מכבי"" שירותי בריאות| מכבי שירותי בריאות"
שלומי מור,"עו""ד ביטוח לאומי| הביטוח הלאומי| המוסד לביטוח לאומי"
עידו הרשקוביץ,"משרד ראש הממשלה| המשרד לירושלים ומורשת| יועץ בכיר למנכ""ל משרד לירושלים ומורשת"
יעל גויסקי אבס,"שדלן/ית| ייעוץ ושירותי חקיקה), מייצג/ת את לשכת עורכי הדין בישראל| ייעוץ ושירותי חקיקה), מייצג/ת את להב – לשכת ארגוני העצמאים והעסקים בישראל, לשכת עורכי הדין בישראל"
אלדד קובלנץ,"מנכ""ל תאגיד השידור הציבורי 'כאן'| מנכ""ל תאגיד השידור הציבורי ומנכ""ל הטלוויזיה החינוכית"
אייל בן ישעיה,משרד התקשורת| משרד האוצר
אסף אמיר,תכנים מפיקי קולנוע וטלוויזיה| חבר הנהלה מפיקי קולנוע וטלוויזיה| ארגוני יוצרים ומבצעים
חנה אלעזר,אגודה ישראלית למען יהודי אתיופיה| האגודה הישראלית למען יהודי אתיופיה
יהודה אסולין,איגוד מוניות השירות| ארגון מוניות השירות
יעקב ברגיל,"עמותת אדיר ישראל| יו""ר ארגון הקהילה הספרדית"
טל אלוביץ,"שדלן/ית| מייצג/ת את לשכת רואי חשבון בישראל| אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: איגוד הבנקים, איגוד חברות הביטוח בישראל, בנק הפועלים| מייצג/ת את איגוד הבנקים, בנק הפועלים (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: מאסטרכארד)"
בוריס פבלוב,רשות שוק ההון| משרד האוצר
נדב שמש,יועץ שר האוצר| משרד האוצר
יוסי אוחנה,מרכז השלטון המקומי| המרכז לשלטון מקומי
שחר סולר,המשרד להגנת הסביבה| איכות הסביבה
דניאל דושניצקי,התנועה לאיכות השלטון| התנועה למען איכות השלטון בישראל
עינת גבריאלי,רכזת תחום גנים| פורום ועדי ההורים היישוביים
נמרוד הגלילי,איגוד לשכות המסחר| הארגון להשכרת רכב וליסינג
נוי אשכנזי,המשרד לבטחון פנים| המשרד לביטחון פנים
פינחס מיכאלי,"לשכת עורכי הדין| ממונה חקיקה, לשכת עוה""ד"
דוד קוכמן,האיחוד החקלאי| התנועה המיישבת
גיל ברינגר,עוזר שרת המשפטים לענייני חקיקה| משרד המשפטים
נדב כספי,סגן חשב הכנסת| חשבות הכנסת
פנחס מיכאלי,"לשכת עורכי הדין| לשכת עו""ד"
דפנה פביאן,"אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: אסם, לקט ישראל, תנובה)| מייצג/ת את איגוד לשכות המסחר – חטיבת התמרוקים, פרוקטר אנד גמבל ישראל"
חביב קטן,משרד התרבות והספורט| משרד המדע
מל פולישוק בלוך,"חכ""ל| אקו""ם"
חיים סלוצקי,"יו""ר סלוצקי אפיקי תקשורת בע""מ| הוט בידור ישראלי, ערוצים שמשדרים בכבלים ובלוויין| ערוצים שמשדרים בכבלים ובלווין"
יפעת רווה,משרד הפנים| משרד המשפטים
דודו קוכמן,תנועות ההתיישבות| איחוד חקלאי| תנועת האיחוד החקלאי
מאיה עציוני,"משרד האנרגיה והמים| משרד התשתיות הלאומיות, האנרגיה והמים"
ענת אלון,"ייעוץ ושירותי חקיקה), מייצג/ת את להב – לשכת ארגוני העצמאים והעסקים בישראל| ייעוץ ושירותי חקיקה), מייצג'ת אגוד המוסכים| ייעוץ ושירותי חקיקה), מייצג/ת את לשכת עורכי הדין בישראל| ייעוץ ושירותי חקיקה), מייצג/ת את איגוד המוסכים"
דבורה קמחי,ישראל 10| ערוץ 10
סטיבן יעקב לוי,מייצג/ת את מרכז המועצות האזוריות| שדלן/ית
ענבל יעקובי,להקת המחול בת שבע| להקת בת שבע
יהונתן קלינגר,עורך דין| יועץ משפטי| מוזמנים שונים| התנועה לזכויות דיגיטליות
שרית הכט,יועצת משפטית של קשת| שידורי קשת
דורון יהודה,"ארגוני נכים| מנכ""ל ארגון נכי הפוליו בישראל"
משרד המשפטים,דוד פרוינד| אסתי ורהפטיג| באפי תם גבאי| שרה בן שאול וייס
ענת הר אבן,רשות האכיפה והגביה| משרד המשפטים| רשות האכיפה והגבייה
מוריה כהן בקשי,"ייעוץ וחקיקה, משרד המשפטים| ממונה, משרד המשפטים"
איריס פלורנטין,"משרד הרווחה והשירותים החברתיים| מנהלת האגף לשירותים חברתיים ואישיים, משרד העבודה, הרווחה והשירותים החברתיים"
תומר ישראל,"הפורום המשפטי למען א""י| עו""ד"
"ד""ר גיא כרמי","עתודות ופסגות העל| מייצג/ת את פסגות, ה.ע.ל, עתודות"
אלון אופיר,משרד ראש הממשלה| עיריית נתניה
יואל הדר,המשרד לבטחון פנים| המשרד לביטחון פנים| המשרד לביטחון הפנים
שמואל לויט,המועצה לענף הלול| מועצות ייצור ושיווק
גילי בסמן ריינגולד,"הרשות למשפט, טכנולוגיה ומידע| משרד המשפטים"
עמיר אריהן,משרד הפנים| הר אדר
שבתאי גרברציק,המשרד לבטחון פנים| המשרד לביטחון פנים
ערן קופל,איגוד רופאי בריאות הציבור| האנווה
מרדכי אמיתי,ארגוני יוצרים ומבצעים| הפדרציה הישראלית לתקליטים והקלטות
מירב רפאלי,"הרשות הלאומית לבטיחות בדרכים, משרד התחבורה והבטיחות בדרכים| ר.לאומית, משרד התחבורה והבטיחות בדרכים"
דוד כוכבא,מועצת המובילים והמסיעים| איגוד מוניות השירות
יורם מוקדי,הוט| HOT
רינת בכר,"אגף רוקחות, משרד הבריאות| אגף הרוקחות, משרד הבריאות"
חגי נצר,"מייצג את ""יורוספורט"" ואת ""דיסקברי""| רשת דיסקברי| מייצג/ת את דיסקברי"
שמעון ביטון,ארגון מגדלי עופות| חבר הנהלה בארגון מגדלי העופות| מועצת הלול
ברוך דדון,רשות האוכלוסין| משרד הפנים
יוסי שבת,"משרד הבינוי והשיכון| מנהל תחום, משרד השיכון"
ליזי דלריצ'ה,מרכז השלטון המקומי| ראשת המועצה המקומית גני תקווה
רועי ברית,עורך דין| משרד ראש הממשלה
הרן לבאות,משרד התקשורת| משרד האוצר
שירה ברגמן,"משרד האוצר| אגף התקציבים, משרד הבריאות"
דליה לב שדה,"משרד הרווחה והשירותים החברתיים| משרד הרווחה, העבודה והשירותים החברתיים"
ניסים טל,"עידן פלוס| סמנכ""ל הנדסה, הרשות השנייה לטלוויזיה ולרדיו| הרשות השניה לטלוויזיה ולרדיו"
מיכל פליישר,HOT| חברת הוט
טל איזנפלד,המועצה לשידורי כבלים ולוויין| משרד התקשורת| המועצה לשידורי כבלים ולשידורי לוויין
לוטם בכר,"אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: איגוד לשכות המסחר, האגודה לזכויות החולה, ההסתדרות הרפואית בישראל, חטיבת אחיות בריאות הציבור, לשכת סוכני ביטוח בישראל, מאוחדת, מגן דוד אדום| שדלן/ית"
אברהם שמש,"ארגוני יוצרים ומבצעים| תל""י – חברת התמלוגים של יוצרי הקולנוע והטלוויזיה"
איתי חיים,ארגון נוסעי התחבורה הציבורית בישראל| ארגונים לקידום התחבורה הציבורית| תחבורה בדרך שלנו
טלי שטיין,"ממונה על ייעוץ וחקיקה, משרד המשפטים| ממונה על תחום הבריאות, משרד המשפטים"
שי חג'ג',ראש מועצה אזורית מרחבים| ראשי רשויות מקומיות ומועצות אזוריות ומקומיות| ראש המועצה האזורית מרחבים
אילנה נק,שדלן/ית| בנק לאומי
יעקב כהן,אגוד בתי האבות ודיור מוגן בישראל| מטה מאבק הנכים| חברת צ'קפיי| פורום החברות הסלולריות
משה אשר,רשות המיסים| משרד האוצר
זיו דשא,ראש מועצת זיכרון יעקב| ראש המועצה המקומית זיכרון יעקב| מועצה מקומית זכרון יעקב
נעמי רייש,"משרד התמ""ת| משרד הכלכלה והתעשייה"
"פעילה, המשמר החברתי",רינה ברעלי| שרה קרמר
שרית גולדשטיין,משרד ראש הממשלה| המשרד לירושלים ומורשת
עמי איטח,ערוץ הקניות| ערוצים שמשדרים בכבלים ובלווין
אריאלה מלכה,"מנהלת הוועדה המיוחדת בהצעת החוק להגברת התחרות ולצמצום הריכוזיות בשוק הבנקאות ובהצ""ח התכנון והבניה (תיקון – פיצול דירות) ובסעיפים מהצעת חוק ההסדרים.| הכנסת"
אלעד דהן,"הרשות לשיקום האסיר, משרד הרווחה והשירותים החברתיים| סגן יועץ משפטי בכיר, הרשות לשיקום האסיר"
אדם אבזק,בתי הדין השרעיים| משרד המשפטים
גדעון זאגא,מייצג/ת את מרכז המועצות האזוריות| שדלן/ית| מייצג/ת את החברה להגנת הטבע (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: חברת החשמל)
מבשרת נבו,"שדלן/ית| מייצג/ת את ארגון מגדלי הדגים, התאחדות הארגונים הכלכליים הקיבוציים, מועצת הדבש, מועצת החלב, מועצת הצמחים"
מיכל גרוס,הרשות השנייה לטלוויזיה ולרדיו| הרשות השניה לטלוויזיה ולרדיו
